Actors_ID,Actors_Name
1,SamanthaIsler
2,NaomieHarris
3,TianJing
4,KurtRussell
5,ChrisEvans
6,ScottGillespie
7,JessicaChastain
8,PaulaPatton
9,MichaelNyqvist
10,FelicityJones
11,BillPullman
12,SamClaflin
13,RobertDowneyJr.
14,AlanTudyk
15,JanelleMonáe
16,TangieAmbrose
17,BrandonPhillips
18,MilaKunis
19,ZacharyQuinto
20,MarkStrong
21,StephenLang
22,EmmaBooth
23,KevinHart
24,EssieDavis
25,MichaelKeaton
26,AlisonSudol
27,NickOfferman
28,KeanuReeves
29,EmmaStone
30,SamuelL.Jackson
31,MatthewMcConaughey
32,DanAykroyd
33,HeathLedger
34,ForestWhitaker
35,ElliotPage
36,JasonBateman
37,PazdelaHuerta
38,ChrisPine
39,RebeccaFerguson
40,SethRogen
41,LeonardoDiCaprio
42,ZoeyDeutch
43,RachelMcAdams
44,JohnBoyega
45,RobertPattinson
46,TheoJames
47,TomHanks
48,JenniferJasonLeigh
49,NathanielBrown
50,LouisC.K.
51,TomMurray
52,JesseBorrego
53,JuliaRoberts
54,SteveLantz
55,AliciaVikander
56,MargotRobbie
57,JasonSudeikis
58,TobiasMenzies
59,LewisMacDougall
60,WillemDafoe
61,ColinFirth
62,KatherineWaterston
63,AmyAdams
64,MichelleMonaghan
65,DylanMinnette
66,KateBeckinsale
67,GeorgeMacKay
68,Auli'iCravalho
69,CyrilRoy
70,JavierBardem
71,MarkRuffalo
72,WillSmith
73,MeganFox
74,EricStonestreet
75,JeremyRenner
76,J.K.Simmons
77,ElleFanning
78,ShiaLaBeouf
79,MarionCotillard
80,MichaelShannon
81,KyleChandler
82,JohnnyDepp
83,MillaJovovich
84,GabrielChavarria
85,DakotaJohnson
86,KristenStewart
87,JohnCarrollLynch
88,DenzelWashington
89,AshleighCummings
90,StephenCurry
91,HughJackman
92,PenélopeCruz
93,GemmaArterton
94,KathrynHahn
95,LawrenceA.Bonney
96,KristenBell
97,GinniferGoodwin
98,MilesTeller
99,IdrisElba
100,EthanHawke
101,MahershalaAli
102,OscarIsaac
103,RussellCrowe
104,AnyaTaylor-Joy
105,SethMacFarlane
106,JesseBradford
107,BrendanGleeson
108,DwayneJohnson
109,RosamundPike
110,LarsEidinger
111,JonahHill
112,ChrisPratt
113,AustinStowell
114,TaronEgerton
115,MichaelFassbender
116,BradPitt
117,AnnaKendrick
118,DianeKruger
119,TheoRossi
120,JenniferEhle
121,BenedictCumberbatch
122,ViggoMortensen
123,TarajiP.Henson
124,NeilPatrickHarris
125,SamWorthington
126,TommyLeeJones
127,JamesFranco
128,EdwardNorton
129,T.J.Miller
130,EmiliaClarke
131,OrlandoBloom
132,AnthonyHopkins
133,CharlieHunnam
134,JamieDornan
135,JeremyIrons
136,ZooeyDeschanel
137,BenAffleck
138,JustinTimberlake
139,LauraLinney
140,RachelHouse
141,HenryCavill
142,BenFoster
143,DaisyRidley
144,BillMurray
145,NicholasHoult
146,MatthewBroderick
147,JenniferAniston
148,CharlizeTheron
149,JamesEarlJones
150,MorenaBaccarin
151,BrianCox
152,BrittanyBlanton
153,AngourieRice
154,MattDamon
155,RosemarieDeWitt
156,BillNighy
157,MichelleWilliams
158,TomHardy
159,BryceDallasHoward
160,JamesMcAvoy
161,ViolaDavis
162,AndrewGarfield
163,EddieRedmayne
164,JeffGoldblum
165,MackSwain
166,MarkWahlberg
167,KateWinslet
168,KristenWiig
169,JaredHarris
170,DouglasM.Griffin
171,AaronEckhart
172,AliLarter
173,EliRoth
174,JaredLeto
175,LiamHemsworth
176,JocelinDonahue
177,SiennaMiller
178,VinDiesel
179,IainGlen
180,JaneLevy
181,HaleyBennett
182,AnneHathaway
183,BradleyCooper
184,MichaelSheen
185,JenniferGarner
186,EmileHirsch
187,KateHudson
188,TravisFimmel
189,RyanReynolds
190,RyanGosling
191,JenniferLawrence
192,VictoriaBruno
193,IanMcShane
194,ZoeSaldana
195,JakeGyllenhaal
196,ReeseWitherspoon
197,BrandyMason
198,BryanCranston
199,LoganMarshall-Green
200,SigourneyWeaver
201,JodieFoster
202,KeiraKnightley
203,HaleyLuRichardson
204,TrevanteRhodes
205,OpheliaLovibond
206,JanetMcTeer
207,CaseyAffleck
208,CharlotteLeBon
209,LukeBracey
210,KarlUrban
211,EmilyBlunt
212,SigridBouaziz
213,AlfieAllen
214,DemiánBichir
215,SimonFarnaby
216,DiegoLuna
217,CharlesChaplin
218,JosephGordon-Levitt
219,ChiwetelEjiofor
220,NoomiRapace
221,GuguMbatha-Raw
222,TySimpkins
223,JoshDuhamel
224,OctaviaSpencer
225,JulianBarratt
226,ChristianBale
227,ScarlettJohansson
