Movie_ID,Writer_ID
tt2015381,131
tt2015381,7
tt2015381,178
tt1446714,33
tt1446714,34
tt1446714,47
tt4972582,94
tt3470600,11
tt1386697,121
tt1386697,100
tt2034800,35
tt2034800,49
tt2034800,140
tt3783958,28
tt4799064,175
tt4799064,167
tt1212428,86
tt1212428,52
tt1355644,33
tt3183660,79
tt4846340,55
tt4846340,106
tt4846340,143
tt3748528,155
tt3748528,140
tt3748528,81
tt3521164,48
tt3521164,71
tt3521164,58
tt4680182,59
tt2709768,19
tt2709768,139
tt2709768,12
tt2119532,21
tt2119532,154
tt4196776,66
tt4196776,149
tt4196776,135
tt0110357,40
tt0110357,44
tt0110357,176
tt2543164,92
tt2543164,118
tt0015864,171
tt4034228,104
tt3896738,111
tt1679335,31
tt1679335,83
tt1679335,136
tt1628841,179
tt1628841,65
tt1628841,133
tt3778010,99
tt4651520,16
tt4651520,80
tt2094766,70
tt2094766,61
tt2094766,128
tt4501244,163
tt4501244,69
tt4501244,77
tt4550098,115
tt4550098,22
tt3385516,165
tt3385516,50
tt3385516,141
tt1431045,102
tt1431045,76
tt2592614,97
tt3498820,62
tt3498820,60
tt3498820,144
tt0816692,122
tt0816692,89
tt1211837,33
tt1211837,54
tt1211837,134
tt2404435,116
tt2404435,142
tt2404435,132
tt1700841,110
tt1700841,1
tt1700841,36
tt4975722,124
tt4975722,129
tt3620452,25
tt4276820,168
tt1366338,125
tt1366338,156
tt1298650,87
tt1298650,161
tt1298650,91
tt4540710,20
tt1055369,39
tt1055369,169
tt1055369,159
tt2660888,84
tt2660888,18
tt2660888,164
tt3286560,151
tt2488496,177
tt2488496,170
tt2488496,117
tt3717252,147
tt3717252,72
tt3717252,172
tt4824302,13
tt4824302,88
tt4824302,150
tt2911666,181
tt0468569,122
tt0468569,89
tt0468569,63
tt0102926,2
tt0102926,148
tt4160708,42
tt4160708,57
tt2674426,146
tt1661275,45
tt1661275,78
tt3263904,10
tt3263904,95
tt3263904,123
tt2975590,37
tt2975590,63
tt2975590,23
tt3289956,108
tt3289956,75
tt3631112,15
tt3631112,157
tt2322441,162
tt2322441,29
tt0482571,122
tt0482571,89
tt0482571,38
tt2802144,126
tt2802144,53
tt2802144,90
tt4572514,109
tt4572514,158
tt4572514,43
tt1392190,4
tt1392190,24
tt1392190,46
tt5195412,5
tt5195412,152
tt5195412,101
tt1860357,137
tt1860357,113
tt1860357,14
tt4776998,74
tt4776998,152
tt3640424,6
tt3416532,30
tt3416532,64
tt4682786,68
tt2948356,32
tt2948356,85
tt2948356,48
tt0449088,87
tt0449088,161
tt0449088,91
tt0848228,27
tt0848228,105
tt0361748,174
tt0383574,87
tt0383574,161
tt0383574,91
tt0087332,26
tt0087332,119
tt0087332,173
tt1375666,89
tt3553976,160
tt0993846,93
tt0993846,112
tt2267998,51
tt0369610,8
tt0369610,107
tt0369610,56
tt2361317,98
tt2361317,166
tt0499549,180
tt3460252,174
tt2140479,73
tt1392214,9
tt0803096,138
tt0803096,103
tt1454029,67
tt1454029,82
tt2005151,17
tt2005151,153
tt2005151,96
tt2395427,27
tt2395427,41
tt2395427,3
tt3799694,130
tt3799694,145
tt1191111,120
tt1191111,127
tt4714782,114
