day,month,year,Movie_ID
1,8,2014,tt2015381
8,6,2012,tt1446714
20,1,2017,tt4972582
21,12,2016,tt3470600
5,8,2016,tt1386697
17,2,2017,tt2034800
25,12,2016,tt3783958
5,5,2017,tt4799064
21,4,2017,tt1212428
21,12,2016,tt1355644
18,11,2016,tt3183660
6,1,2017,tt4846340
16,12,2016,tt3748528
23,11,2016,tt3521164
21,4,2017,tt4680182
8,7,2016,tt2709768
4,11,2016,tt2119532
29,7,2016,tt4196776
24,6,1994,tt0110357
11,11,2016,tt2543164
13,7,1925,tt0015864
16,12,2016,tt4034228
12,5,2017,tt3896738
4,11,2016,tt1679335
24,6,2016,tt1628841
12,5,2017,tt3778010
29,7,2016,tt4651520
21,12,2016,tt2094766
23,12,2016,tt4501244
9,12,2016,tt4550098
27,5,2016,tt3385516
12,2,2016,tt1431045
27,1,2017,tt2592614
6,5,2016,tt3498820
7,11,2014,tt0816692
4,11,2016,tt1211837
23,9,2016,tt2404435
12,8,2016,tt1700841
18,11,2016,tt4975722
25,10,2016,tt3620452
20,1,2017,tt4276820
28,4,2017,tt1366338
20,5,2011,tt1298650
9,12,2016,tt4540710
24,6,2009,tt1055369
22,7,2016,tt2660888
28,7,2017,tt3286560
18,12,2015,tt2488496
6,1,2017,tt3717252
29,4,2016,tt4824302
24,10,2014,tt2911666
18,7,2008,tt0468569
14,2,1991,tt0102926
26,8,2016,tt4160708
3,6,2016,tt2674426
7,4,2017,tt1661275
9,9,2016,tt3263904
25,3,2016,tt2975590
21,12,2016,tt3289956
7,10,2016,tt3631112
13,2,2015,tt2322441
20,10,2006,tt0482571
13,2,2015,tt2802144
13,1,2017,tt4572514
15,5,2015,tt1392190
19,5,2017,tt5195412
30,9,2016,tt1860357
21,4,2017,tt4776998
23,11,2016,tt3640424
6,1,2017,tt3416532
16,12,2016,tt4682786
4,3,2016,tt2948356
25,5,2007,tt0449088
4,5,2012,tt0848228
21,8,2009,tt0361748
7,7,2006,tt0383574
8,6,1984,tt0087332
16,7,2010,tt1375666
29,7,2016,tt3553976
25,12,2013,tt0993846
3,10,2014,tt2267998
12,6,2015,tt0369610
13,1,2017,tt2361317
18,12,2009,tt0499549
30,12,2015,tt3460252
14,10,2016,tt2140479
20,9,2013,tt1392214
10,6,2016,tt0803096
10,8,2011,tt1454029
19,8,2016,tt2005151
1,5,2015,tt2395427
20,5,2016,tt3799694
5,5,2010,tt1191111
10,3,2017,tt4714782
